,title,network,imdb_rating,num_imdb_ratings,rt_critic_rating,genres,tv_rating,release_year,runtime_mins,imdb_url,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
0,La Casa de Papel,Netflix,8.5,215007,91,"['action', 'crime', 'mystery', 'thriller']",TV-MA,2017,70,https://www.imdb.com/title/tt6468322/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,Ozark,Netflix,8.4,136710,81,"['crime', 'drama', 'thriller']",TV-MA,2017,60,https://www.imdb.com/title/tt5071412/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Tiger King,Netflix,7.8,33700,86,"['documentary', 'crime']",TV-MA,2020,31,https://www.imdb.com/title/tt11823076/,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Westworld,HBO,8.7,388252,85,"['drama', 'mystery', 'sci-fi', 'western']",TV-MA,2016,62,https://www.imdb.com/title/tt0475784/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6,Better Call Saul,AMC,8.7,280536,97,"['crime', 'drama']",TV-MA,2015,46,https://www.imdb.com/title/tt3032476/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Unorthodox,Netflix,8.2,15568,93,['drama'],TV-MA,2020,21,https://www.imdb.com/title/tt9815454/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Tales from the Loop,Amazon,7.5,3362,82,"['drama', 'sci-fi']",TV-MA,2020,50,https://www.imdb.com/title/tt8741290/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Homeland,Showtime,8.3,293795,85,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2011,55,https://www.imdb.com/title/tt1796960/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14,Schitt's Creek,POP,8.3,30569,92,['comedy'],TV-14,2015,22,https://www.imdb.com/title/tt3526078/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Peaky Blinders,Netflix,8.8,276218,92,"['crime', 'drama']",TV-MA,2013,60,https://www.imdb.com/title/tt2442560/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Outlander,Starz,8.4,108101,92,"['drama', 'fantasy', 'romance']",TV-MA,2014,64,https://www.imdb.com/title/tt3006802/,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
