,Franchise,Total Gross,Releases,Top Release,Top Release Gross
178,Diary of a Wimpy Kid,"$186,449,546",4,Diary of a Wimpy Kid,"$64,003,625"
179,Bad Moms,"$185,367,956",2,Bad Moms,"$113,257,297"
180,Now You See Me,"$182,799,529",2,Now You See Me,"$117,723,989"
181,Top Gun,"$179,800,601",2,Top Gun,"$176,781,728"
182,Poltergeist,"$179,678,666",5,Poltergeist,"$76,606,280"
183,Amityville,"$170,534,063",5,The Amityville Horror,"$86,432,000"
184,Robocop,"$168,409,071",4,RoboCop,"$58,607,007"
185,Porky's,"$165,567,844",4,Porky's,"$105,492,483"
186,The Omen,"$162,520,100",4,The Omen,"$60,922,980"
187,Pacific Rim,"$161,677,431",2,Pacific Rim,"$101,802,906"
188,Alex Cross,"$160,494,459",3,Along Came a Spider,"$74,078,174"
189,Hellboy,"$157,514,209",3,Hellboy II: The Golden Army,"$75,986,503"
190,Think Like a Man,"$156,729,387",2,Think Like a Man,"$91,547,205"
191,Child's Play,"$155,399,337",6,Child's Play,"$33,244,684"
192,Trolls,"$153,707,064",1,Trolls,"$153,707,064"
193,Cloverfield,"$152,131,431",2,Cloverfield,"$80,048,433"
194,Planes,"$149,454,499",2,Planes,"$90,288,712"
195,Angry Birds,"$149,176,482",2,The Angry Birds Movie,"$107,509,366"
196,Zombieland,"$148,713,368",2,Zombieland,"$75,590,286"
197,Red,"$143,642,722",2,RED,"$90,380,162"
198,Arthur,"$143,178,271",3,Arthur,"$95,461,682"
199,Shazam!,"$140,371,656",1,Shazam!,"$140,371,656"
200,Riddick,"$139,026,806",3,The Chronicles of Riddick,"$57,761,012"
201,Jack Reacher,"$138,767,812",2,Jack Reacher,"$80,070,736"
202,Bridget Jones's Trilogy,"$136,022,062",3,Bridget Jones's Diary,"$71,543,427"
203,Power Rangers,"$131,915,780",3,Power Rangers,"$85,364,450"
204,Coming to America,"$128,152,301",1,Coming to America,"$128,152,301"
205,Goosebumps,"$126,781,012",2,Goosebumps,"$80,080,379"
206,Blade Runner,"$124,923,102",4,Blade Runner 2049,"$92,054,159"
207,The Mighty Ducks,"$119,317,844",3,The Mighty Ducks,"$50,752,337"
208,Friday,"$118,049,776",3,Next Friday,"$57,328,603"
209,Dragon Tattoo,"$117,357,131",2,The Girl with the Dragon Tattoo,"$102,515,793"
210,Paddington Bear,"$117,163,423",2,Paddington,"$76,271,832"
211,Transporter,"$116,137,035",4,Transporter 2,"$43,095,856"
212,Peter Rabbit,"$115,253,424",1,Peter Rabbit,"$115,253,424"
213,Dolphin Tale,"$114,311,312",2,Dolphin Tale,"$72,286,779"
214,Free Willy,"$111,222,275",3,Free Willy,"$77,698,625"
215,View Askewniverse,"$106,770,558",7,Dogma,"$30,652,890"
216,Best Man,"$104,627,975",2,The Best Man Holiday,"$70,525,195"
217,Witch Mountain,"$103,565,594",3,Race to Witch Mountain,"$67,172,594"
218,Agatha Christie,"$102,826,543",1,Murder on the Orient Express,"$102,826,543"
219,Psycho,"$102,692,261",4,Psycho II,"$34,725,000"
220,Sicario,"$96,961,528",2,Sicario: Day of the Soldado,"$50,072,235"
221,The Nut Job,"$92,622,063",2,The Nut Job,"$64,251,541"
222,Ernest,"$92,334,369",5,Ernest Saves Christmas,"$28,202,109"
223,Conan,"$91,902,531",3,Conan the Barbarian,"$39,565,475"
224,Harold and Kumar,"$91,420,309",3,Harold &amp; Kumar Escape from Guantanamo Bay,"$38,108,728"
225,The Bad News Bears,"$91,276,524",4,Bad News Bears,"$32,868,349"
226,Space Jam,"$90,418,342",1,Space Jam,"$90,418,342"
227,Benji,"$89,575,053",5,Benji,"$39,552,000"
228,Sin City,"$87,861,624",2,Sin City,"$74,103,820"
229,A Dog's Franchise,"$87,290,991",2,A Dog's Purpose,"$64,508,620"
230,God's Not Dead,"$87,259,247",3,God's Not Dead,"$60,755,732"
231,Ouija,"$86,000,515",2,Ouija,"$50,856,010"
232,Major League,"$83,995,773",3,Major League,"$49,797,148"
233,Happy Death Day,"$83,831,975",2,Happy Death Day,"$55,683,845"
234,El Mariachi,"$83,806,145",3,Once Upon a Time in Mexico,"$56,359,780"
235,Woman in Black,"$80,834,613",2,The Woman in Black,"$54,333,290"
236,Dark Universe,"$80,227,895",1,The Mummy,"$80,227,895"
237,Bill &amp; Ted,"$78,522,552",2,Bill &amp; Ted's Excellent Adventure,"$40,485,039"
238,"Oh, God!","$77,730,370",3,"Oh, God!","$41,687,243"
239,Strangers,"$77,184,318",2,The Strangers,"$52,597,610"
240,The Shining,"$76,914,664",5,The Shining,"$44,017,374"
241,Kick-Ass,"$76,867,288",2,Kick-Ass,"$48,071,303"
242,Jeepers Creepers,"$75,906,555",3,Jeepers Creepers,"$37,904,175"
243,Sinister,"$75,827,858",2,Sinister,"$48,086,903"
244,The Hitman's Bodyguard,"$75,468,583",1,The Hitman's Bodyguard,"$75,468,583"
245,Evil Dead,"$74,065,876",4,Evil Dead,"$54,239,856"
246,Zoolander,"$74,020,943",2,Zoolander,"$45,172,250"
247,47 Meters Down,"$66,568,091",2,47 Meters Down,"$44,307,191"
248,House Party,"$65,105,500",3,House Party,"$26,385,627"
249,Three Flavours Cornetto,"$63,184,990",3,The World's End,"$26,004,851"
250,Hot Tub Time Machine,"$62,602,207",2,Hot Tub Time Machine,"$50,287,556"
251,Tomb Raider,"$58,250,803",1,Tomb Raider,"$58,250,803"
252,A Haunted House,"$57,371,169",2,A Haunted House,"$40,041,683"
253,Escape Room,"$57,005,601",1,Escape Room,"$57,005,601"
254,The Last Exorcism,"$56,213,652",2,The Last Exorcism,"$41,034,350"
255,Meatballs,"$50,604,203",3,Meatballs,"$43,046,003"
256,Super Troopers,"$49,109,758",2,Super Troopers 2,"$30,617,396"
257,Hellraiser,"$48,526,609",4,Hellraiser,"$14,564,027"
258,The Boy,"$48,431,092",2,The Boy,"$35,819,556"
259,Universal Soldier,"$46,973,251",3,Universal Soldier,"$36,299,898"
260,Highlander,"$46,571,278",4,Highlander II: The Quickening,"$15,556,340"
261,Fright Night,"$46,208,628",3,Fright Night,"$24,922,237"
262,3 Ninjas,"$41,588,439",4,3 Ninjas,"$29,000,301"
263,Unfriended,"$41,348,835",2,Unfriended,"$32,482,090"
264,Johnny English,"$40,800,506",3,Johnny English,"$28,082,366"
265,Missing in Action,"$39,761,759",3,Missing in Action,"$22,812,411"
266,The Neverending Story,"$37,532,335",2,The NeverEnding Story,"$20,158,808"
267,Iron Eagle,"$37,174,796",3,Iron Eagle,"$24,159,872"
268,Machete,"$34,601,807",2,Machete,"$26,593,646"
269,Care Bears,"$34,082,968",3,The Care Bears Movie,"$22,934,622"
270,Earth,"$32,092,921",2,Earth,"$32,011,576"
271,An Inconvenient Franchise,"$27,642,956",2,An Inconvenient Truth,"$24,146,161"
272,Return of the Living Dead,"$23,498,011",3,The Return of the Living Dead,"$14,237,880"
273,Millennium,"$22,923,607",3,The Girl with the Dragon Tattoo,"$10,095,170"
274,Mechanic,"$21,225,799",2,Mechanic: Resurrection,"$21,218,403"
275,No Manches Frida,"$20,799,533",2,No manches Frida,"$11,528,613"
276,Before,"$19,470,681",3,Before Midnight,"$8,114,627"
277,RiffTrax,"$18,533,257",7,Krull,"$16,519,460"
278,American Ninja,"$15,759,893",4,American Ninja,"$10,499,694"
279,Dhoom,"$10,921,297",3,Dhoom 3,"$8,031,955"
280,Atlas Shrugged Franchise,"$8,810,132",3,Atlas Shrugged: Part I,"$4,627,375"
281,Raid,"$6,732,396",2,The Raid: Redemption,"$4,105,187"
282,The Work and the Glory,"$6,697,771",3,The Work and the Glory,"$3,347,647"
283,The Trip,"$6,069,103",3,The Trip to Italy,"$2,880,537"
284,Ong Bak,"$4,680,515",3,Ong-Bak: The Thai Warrior,"$4,563,167"
285,Ip Man Franchise,"$2,922,996",3,Ip Man 3,"$2,679,437"
286,Shiloh,"$1,066,768",2,Shiloh,"$1,007,822"
287,Evangelion,"$416,382",3,Evangelion: 3.0 You Can (Not) Redo,"$174,945"
288,V/H/S,"$124,934",3,V/H/S,"$100,345"
